cities.csv,City,Country,Date,Temperature (F),Latitude,Longitude,Humidity (%),Cloudiness (%),Wind Speed (mph)
50,Quesnel,CA,1534708800,69.8,52.98,-122.49,37,90,4.7
51,Port-Gentil,GA,1534708800,75.2,-0.72,8.78,88,40,9.17
53,Kruisfontein,ZA,1534713675,59.22,-34,24.73,94,92,14.79
54,Faanui,PF,1534713675,79.2,-16.48,-151.75,100,68,9.31
55,Prince Rupert,CA,1534708800,66.2,54.32,-130.32,63,1,11.41
56,Saskylakh,RU,1534713676,46.26,71.97,114.09,83,80,3.15
57,Port Alfred,ZA,1534713676,64.8,-33.59,26.89,86,36,14
58,Chunskiy,RU,1534713676,52.92,56.08,99.63,84,0,2.71
59,Labuhan,ID,1534713676,68.4,-2.54,115.51,94,0,2.15
61,Harper,US,1534712100,94.35,30.3,-99.24,37,1,8.05
62,Lavrentiya,RU,1534713677,45.9,65.58,-170.99,96,92,13
63,Torbay,CA,1534708800,55.4,47.66,-52.73,100,90,10.29
64,Reconquista,AR,1534713678,49.05,-29.14,-59.64,92,48,21.61
65,Esperance,TT,1534712400,87.8,10.24,-61.45,62,20,8.05
67,Broken Hill,AU,1534713679,31.68,-31.97,141.45,86,0,2.93
68,Severo-Kurilsk,RU,1534713679,52.02,50.68,156.12,98,88,26.42
69,Saint George,GR,1534711800,75.2,39.45,22.34,47,0,5.82
70,Nome,US,1534711980,92.7,30.04,-94.42,52,20,17.22
71,New Norfolk,AU,1534712400,37.4,-42.78,147.06,74,75,8.05
73,Cape Town,ZA,1534708800,53.6,-33.93,18.42,93,90,11.41
74,Havoysund,NO,1534711800,49.08,71,24.66,87,75,19.46
75,Oussouye,SN,1534713681,80.64,12.49,-16.54,94,64,13.11
76,Dimbokro,CI,1534713682,75.15,6.65,-4.7,91,48,6.62
77,Toktogul,KG,1534713682,41.85,41.87,72.95,83,0,1.14
78,Avarua,CK,1534712400,77,-21.21,-159.78,69,40,10.29
79,Sur,OM,1534713683,84.42,22.57,59.53,89,64,1.03
80,Jackson,US,1534711980,88.7,35.61,-88.82,59,20,6.93
81,Ostrovnoy,RU,1534713683,55.98,68.05,39.51,79,0,16.69
82,Tiksi,RU,1534713684,49.32,71.64,128.87,83,92,15.35
83,Omboue,GA,1534713684,74.25,-1.57,9.26,100,20,8.3
84,Bluff,AU,1534713684,44.01,-23.58,149.07,46,0,11.99
85,Palanga,RO,1534713685,69.66,44.45,25.08,83,36,2.93
86,Kargat,RU,1534713685,58.95,55.19,80.28,70,8,10.98
88,Koumac,NC,1534713686,65.88,-20.56,164.28,100,100,4.5
89,Victoria,BN,1534712400,79.59,5.28,115.24,94,75,1.12
90,Mehamn,NO,1534711800,51.28,71.03,27.85,87,75,19.46
91,Mabaruma,GY,1534713415,84.78,8.2,-59.78,74,0,8.41
92,Birao,CF,1534713687,70.2,10.3,22.78,99,88,8.86
94,Mataura,NZ,1534713687,28.44,-46.19,168.86,81,88,2.82
95,Huazhou,CN,1534713688,78.21,21.65,110.64,98,92,2.26
96,Ancud,CL,1534713688,48.69,-41.87,-73.83,62,0,6.4
97,Tahe,CN,1534713688,52.02,52.34,124.71,94,12,1.7
98,Vaini,IN,1534713689,69.93,15.34,74.49,98,92,9.64
99,Norman Wells,CA,1534708800,66.2,65.28,-126.83,48,40,10.29
100,Tual,ID,1534713689,79.02,-5.67,132.75,99,48,19.26
101,Mareeba,AU,1534712400,69.8,-16.99,145.42,37,75,12.75
102,Nikolskoye,RU,1534710600,60.8,59.7,30.79,82,0,11.18
103,San Vicente,SV,1534711800,86.9,13.64,-88.78,74,40,4.7
104,Albany,US,1534712040,76.68,42.65,-73.75,41,75,5.82
105,Atuona,PF,1534713692,78.21,-9.8,-139.03,100,68,14.9
106,Busselton,AU,1534713692,56.52,-33.64,115.35,100,0,8.97
108,Kahului,US,1534712160,86.99,20.89,-156.47,56,40,16.11
109,Hobart,AU,1534712400,37.4,-42.88,147.33,74,75,8.05
110,Valparaiso,US,1534712100,83.01,41.47,-87.06,58,75,5.82
111,Clyde River,CA,1534708800,53.6,70.47,-68.59,62,1,10.29
113,Sitka,US,1534713694,77.58,37.17,-99.65,83,8,16.8
114,Castro,CL,1534713695,47.52,-42.48,-73.76,68,0,5.73
115,Presidencia Roque Saenz Pena,AR,1534713695,46.98,-26.79,-60.44,97,92,22.95
117,Bethel,US,1534711980,57.2,60.79,-161.76,93,90,6.93
118,Hopkinton,US,1534712280,71.29,42.23,-71.52,60,1,14.99
119,Khatanga,RU,1534713697,46.53,71.98,102.47,98,92,5.61
120,Asahi,JP,1534710600,67.06,35.74,140.65,83,75,10.29
121,Bathsheba,BB,1534712400,84.2,13.22,-59.52,74,40,14.99
122,Key West,US,1534710900,71.26,47.93,-96.78,56,40,12.75
123,Tasiilaq,GL,1534711800,46.4,65.61,-37.64,70,75,8.05
124,Srednekolymsk,RU,1534713698,39.51,67.46,153.71,69,92,6.51
125,Isangel,VU,1534713698,73.53,-19.55,169.27,100,64,8.75
126,Bondeno,IT,1534710000,76.19,44.89,11.41,64,0,2.24
127,Coquimbo,CL,1534712400,59,-29.95,-71.34,67,0,12.75
128,Leningradskiy,RU,1534713699,40.95,69.38,178.42,93,92,6.29
129,Zakupne,UA,1534713700,67.77,49.12,26.33,74,0,5.61
130,Ponta do Sol,BR,1534713753,70.65,-20.63,-46,51,36,2.93
132,Muzhi,RU,1534713701,49.32,65.4,64.7,84,12,9.08
133,Sakaiminato,JP,1534708800,73.4,35.55,133.23,60,75,2.24
134,Blackfoot,US,1534711980,83.28,43.19,-112.35,20,1,6.93
135,Lagunillas,VE,1534712400,80.6,8.5,-71.39,51,20,0.92
136,Hami,CN,1534713702,68.04,42.84,93.51,38,36,7.63
137,Roros,NO,1534711800,41,62.57,11.38,100,36,4.7
138,Tshela,CD,1534713703,73.89,-4.99,12.94,70,8,6.4
139,Cidreira,BR,1534713703,62.55,-30.17,-50.22,79,8,11.54
140,Port Elizabeth,US,1534712160,73.09,39.31,-74.98,83,90,6.93
141,Bintulu,MY,1534712400,75.2,3.17,113.03,94,75,2.24
142,Mlimba,TZ,1534713704,62.64,-8.78,35.81,84,44,2.15
144,Bismarck,US,1534710900,69.06,46.81,-100.78,40,1,16.11
145,Coihaique,CL,1534712400,42.62,-45.58,-72.07,52,20,2.93
146,Eyrarbakki,IS,1534712400,50,63.86,-21.15,76,75,6.93
147,Kungurtug,RU,1534713706,37.62,50.6,97.53,92,12,3.6
148,Bud,NO,1534711800,51.19,62.91,6.91,87,75,12.75
149,Bambous Virieux,MU,1534708800,71.6,-20.34,57.76,68,20,17.22
150,Harur,IN,1534713707,78.03,12.06,78.48,64,64,14.67
151,Manokwari,ID,1534713463,82.35,-0.87,134.08,100,36,2.15
152,Kodiak,US,1534711980,73.4,39.95,-94.76,94,90,5.82
153,Shushtar,IR,1534713708,79.65,32.05,48.86,43,0,3.94
154,Sinnamary,GF,1534713708,82.62,5.38,-52.96,93,20,13.33
155,Ariquemes,BR,1534713699,76.41,-9.91,-63.03,91,36,3.49
156,Inhambane,MZ,1534713709,71.28,-23.87,35.38,96,0,4.83
157,Areosa,PT,1534712400,76.5,41.72,-8.86,39,0,6.93
158,Bayji,IQ,1534713709,87.48,34.93,43.49,20,0,11.32
159,Petropavlovsk-Kamchatskiy,RU,1534710600,53.6,53.05,158.65,100,90,2.24
160,Campos Novos,BR,1534713710,66.15,-27.4,-51.22,75,8,2.93
161,Emba,CY,1534712400,78.03,34.81,32.42,88,20,4.7
162,Talnakh,RU,1534713711,40.68,69.49,88.39,95,20,7.74
163,Cherskiy,RU,1534713711,33.75,68.75,161.3,99,80,10.09
164,Kutum,SD,1534713711,70.2,14.2,24.66,77,68,4.16
165,Nicoya,CR,1534712400,91.4,10.15,-85.45,52,20,13.87
166,Changji,CN,1534713712,76.23,32.07,116.17,93,92,9.19
167,Chokurdakh,RU,1534713712,34.92,70.62,147.9,89,20,8.08
168,Comodoro Rivadavia,AR,1534712400,55.4,-45.87,-67.48,35,0,10.29
169,Maraa,BR,1534713713,72.54,-1.83,-65.37,100,92,8.63
170,Saint-Philippe,CA,1534712100,81.46,45.36,-73.48,32,1,5.39
171,Abu Dhabi,AE,1534712400,92.26,24.47,54.37,75,48,5.82
172,Zharkent,KZ,1534713714,47.34,44.17,80,65,0,2.26
173,Souillac,FR,1534712400,68.99,45.6,-0.6,56,0,5.82
174,Kabo,CF,1534713714,69.48,7.69,18.62,96,64,3.15
175,Palmer,AU,1534712400,44.6,-34.85,139.16,81,75,3.36
177,Half Moon Bay,US,1534712400,74.57,37.46,-122.43,93,90,8.05
178,Najran,SA,1534708800,86,17.54,44.22,16,0,2.24
179,Tautira,PF,1534712400,82.4,-17.73,-149.15,61,20,10.29
180,Fort-Shevchenko,KZ,1534713716,72.72,44.51,50.26,82,0,16.35
181,Egvekinot,RU,1534713717,51.48,66.32,-179.17,84,12,3.6
182,Houma,CN,1534713717,71.46,35.63,111.36,74,12,3.27
183,Lulea,SE,1534711800,55.4,65.58,22.15,58,0,6.93
184,Codrington,AU,1534713718,46.44,-28.95,153.24,48,0,6.73
185,Ribeira Grande,PT,1534708800,78.8,38.52,-28.7,69,20,9.17
186,Nemuro,JP,1534713718,60.57,43.32,145.57,93,88,13.44
188,Oksfjord,NO,1534711800,50.54,70.24,22.35,81,75,11.41
189,Tura,IN,1534713719,75.6,25.52,90.21,98,92,3.94
190,Ust-Nera,RU,1534713719,48.6,64.57,143.24,77,44,2.59
191,Hilo,US,1534711980,75.54,19.71,-155.08,83,90,6.93
192,Kaitangata,NZ,1534713720,30.69,-46.28,169.85,66,36,10.42
193,Geraldton,CA,1534708800,71.6,49.72,-86.95,78,90,4.7
194,Saraland,US,1534712160,75.65,30.82,-88.07,88,40,3.36
195,Dikson,RU,1534713721,45.72,73.51,80.55,93,92,20.83
196,Husavik,CA,1534713722,68.67,50.56,-96.99,77,68,11.65
197,Touros,BR,1534713722,78.48,-5.2,-35.46,75,20,17.81
198,Kavieng,PG,1534713722,83.7,-2.57,150.8,100,36,11.99
199,Chuy,UY,1534713723,46.98,-33.69,-53.46,99,92,22.73
200,Bredasdorp,ZA,1534708800,55.4,-34.53,20.04,93,92,5.82
201,Chara,GR,1534711800,75.2,39.42,22.43,47,0,5.82
205,Owando,CG,1534713724,73.08,-0.49,15.91,92,24,1.36
206,Narsaq,GL,1534711800,46.4,60.91,-46.05,81,12,8.05
207,Hamilton,BM,1534712100,84.2,32.3,-64.78,70,20,9.17
208,Esik,KZ,1534710600,66.2,43.36,77.47,55,20,4.47
209,Quanzhou,CN,1534708800,82.4,24.9,118.59,83,40,2.24
210,Rincon,US,1534712160,86.2,32.3,-81.24,62,75,6.93
211,Namatanai,PG,1534713727,81.72,-3.66,152.44,100,8,9.75
212,Sao Filipe,CV,1534713727,77.49,14.9,-24.5,99,0,8.97
213,Wenatchee,US,1534712100,81.37,47.42,-120.31,33,90,4.7
214,Hobyo,SO,1534713727,73.98,5.35,48.53,86,0,22.17
215,Kysyl-Syr,RU,1534713728,59.4,63.9,122.77,97,92,3.38
216,Jalu,LY,1534713728,86.94,29.03,21.55,36,0,15.46
217,Edd,ER,1534713728,84.15,13.93,41.69,43,36,4.72
218,Luwuk,ID,1534713729,74.34,-0.95,122.79,99,20,6.06
219,Kangaatsiaq,GL,1534713729,44.37,68.31,-53.46,90,36,4.16
220,Sarangani,PH,1534713729,83.52,5.4,125.46,99,12,6.06
221,Lorengau,PG,1534713730,81.54,-2.02,147.27,100,44,11.77
222,Isla Mujeres,MX,1534711200,87.8,21.23,-86.73,70,75,8.05
223,Ormara,PK,1534713730,79.74,25.21,64.64,93,92,9.86
225,Takhtamukay,RU,1534710600,71.6,44.92,39,28,0,17.9
226,Constitucion,MX,1534711500,80.6,23.99,-104.67,32,75,6.4
227,Bonthe,SL,1534713732,73.44,7.53,-12.5,100,92,6.73
228,Nantucket,US,1534713300,66.92,41.28,-70.1,88,90,17.22
229,Ballina,IE,1534710600,60.8,54.11,-9.15,100,90,3.36
230,Barrow,AR,1534713581,44.82,-38.31,-60.23,65,88,13.67
231,Cotonou,BJ,1534708800,78.8,6.37,2.43,83,40,11.41
232,Xuddur,SO,1534713733,74.43,4.12,43.89,63,8,14.79
233,Koundara,GN,1534713733,72.09,12.49,-13.3,96,76,7.4
235,Mar del Plata,AR,1534713734,51.57,-46.43,-67.52,46,0,11.77
236,Atar,MR,1534713734,92.25,20.52,-13.05,22,8,5.95
237,San Patricio,PY,1534713735,56.52,-26.98,-56.83,99,100,9.19
238,Camden,US,1534711860,69.82,39.94,-75.12,100,90,5.82
239,Vao,EE,1534713735,57.96,59.1,26.19,81,36,7.18
240,Arraial do Cabo,BR,1534712400,72.25,-22.97,-42.02,64,0,13.87
241,Buraydah,SA,1534708800,87.8,26.33,43.97,22,0,2.24
242,Henties Bay,NA,1534713736,53.82,-22.12,14.28,100,0,5.39
243,Los Llanos de Aridane,ES,1534712400,73.4,28.66,-17.92,64,12,14.99
244,Marshall,US,1534712100,84.92,39.39,-87.69,55,75,4.7
245,Lipno,PL,1534713738,64.08,52.85,19.18,83,0,5.17
246,Rundu,NA,1534713738,62.64,-17.91,19.77,25,0,8.3
249,Jenks,US,1534710900,81.39,36.02,-95.97,66,40,11.41
250,Olmos,PE,1534713739,77.22,-5.99,-79.75,65,0,3.83
251,Stromness,CA,1534708800,75.2,42.87,-79.55,69,90,11.41
252,Georgetown,GY,1534712400,84.2,6.8,-58.16,70,40,13.87
253,Balabac,PH,1534713740,84.51,7.99,117.06,99,76,2.04
254,Leh,IN,1534713741,30.78,34.16,77.58,92,76,0.92
255,Carutapera,BR,1534713741,81.54,-1.2,-46.02,73,48,13
256,Guerrero Negro,MX,1534713741,83.07,27.97,-114.04,62,0,13.44
257,Mount Darwin,ZW,1534713741,62.82,-16.77,31.58,61,0,6.96
258,Cabinda,AO,1534713742,71.1,-5.56,12.19,97,0,7.96
259,Yeppoon,AU,1534712400,53.6,-23.13,150.74,30,0,12.75
260,Carlyle,CA,1534708800,73.4,49.63,-102.27,23,90,14.99
261,Vila Velha,BR,1534712400,80.6,-3.71,-38.6,74,20,8.05
262,Havelock,US,1534708680,86.54,34.88,-76.9,83,90,9.17
263,Goderich,CA,1534713681,74.97,43.74,-81.71,100,8,5.5
264,Alofi,NU,1534712400,75.2,-19.06,-169.92,69,40,16.11
265,Kurilsk,RU,1534713744,56.97,45.23,147.88,95,36,6.4
266,Luderitz,NA,1534713744,50.13,-26.65,15.16,93,56,7.07
267,Kamaishi,JP,1534713745,61.38,39.28,141.86,82,48,1.48
268,Centralia,US,1534710900,84.2,39.21,-92.14,51,75,8.05
269,Lagoa,PT,1534710600,80.6,37.14,-8.45,57,0,6.93
270,Tanout,NE,1534713746,81.72,14.97,8.88,58,12,2.37
271,Lebu,ET,1534713746,50.4,8.96,38.73,97,56,2.59
273,East London,ZA,1534713746,67.5,-33.02,27.91,96,20,15.23
274,Muli,IN,1534713747,76.05,22.62,71.45,93,36,10.65
275,Iqaluit,CA,1534708800,48.2,63.75,-68.52,76,75,16.11
276,Vertou,FR,1534712400,64.4,47.17,-1.47,88,0,5.82
277,Kedrovyy,RU,1534710600,55.4,56.17,91.82,93,24,2.37
278,Puerto Colombia,CO,1534712400,86,10.99,-74.96,79,75,11.41
279,Ossipee,US,1534713900,82.87,36.17,-79.51,70,75,4.7
280,Port Keats,AU,1534713749,68.94,-14.25,129.55,55,0,18.37
281,Dourbali,TD,1534713749,74.52,11.81,15.86,94,48,6.4
282,Kavaratti,IN,1534713749,80.37,10.57,72.64,100,80,19.04
283,Ahipara,NZ,1534713750,58.68,-35.17,173.16,90,12,14.9
284,Cayenne,GF,1534712400,84.2,4.94,-52.33,70,0,10.29
285,Fortuna,ES,1534712400,77.9,38.18,-1.13,78,0,3.36
286,Lompoc,US,1534712280,74.95,34.64,-120.46,64,1,13.87
287,Provideniya,RU,1534710600,48.2,64.42,-173.23,87,90,6.71
288,Marsa Matruh,EG,1534708800,80.6,31.35,27.25,78,20,10.29
289,Mana,RS,1534710600,61.65,43.52,20.24,100,0,1.12
290,Laguna,MX,1534711260,96.8,27.52,-110.01,39,75,6.93
291,Arlit,NE,1534713753,85.68,18.74,7.39,43,0,4.27
292,Lincoln,GB,1534711800,64.8,53.23,-0.54,77,40,9.17
293,Mbini,GQ,1534708800,75.2,1.58,9.62,100,40,5.82
294,Teya,MX,1534711440,95,21.05,-89.07,50,75,6.93
295,Upernavik,GL,1534713754,41.31,72.79,-56.15,92,80,2.93
298,Farafangana,MG,1534713755,72.27,-22.82,47.83,98,56,14.79
299,Carballo,ES,1534712400,69.8,43.21,-8.69,68,0,3.36
300,Tagusao,PH,1534713755,78.03,9.19,117.81,96,20,3.6
301,Auki,NG,1534713756,72.27,12.18,6.51,97,44,7.18
302,Roebourne,AU,1534713756,52.92,-20.77,117.15,44,0,4.94
303,Spentrup,DK,1534711800,63.46,56.54,10.03,93,100,8.05
304,Whitecourt,CA,1534708800,68,54.14,-115.68,34,75,3.36
305,Ternate,PH,1534712400,77,14.29,120.72,100,90,4.7
306,Ust-Maya,RU,1534713757,60.84,60.42,134.54,82,20,2.59
307,Poros,TR,1534713758,77.22,40.9,26.22,43,0,12.44
308,Whitehorse,CA,1534708800,62.6,60.72,-135.06,42,75,10.29
309,Gouyave,GD,1534712400,84.2,12.16,-61.73,79,20,20.8
310,Stepnyak,KZ,1534713759,56.79,52.83,70.79,100,92,9.19
311,Mineros,BO,1534712400,69.8,-17.12,-63.23,43,40,28.86
312,Tandalti,SD,1534713759,73.08,13.01,31.87,91,24,2.93
313,Broome,GB,1534713060,69.06,52.47,1.45,73,75,6.93
314,Puerto Carreno,CO,1534713760,75.69,6.19,-67.49,91,56,3.04
315,Klyuchi,RU,1534713760,68.4,52.25,79.17,55,0,8.75
316,Khamza,UZ,1534710600,75.2,40.42,71.51,44,0,6.93
318,Erenhot,CN,1534713761,63.36,43.65,111.97,61,56,4.61
319,Adrar,DZ,1534708800,102.2,27.87,-0.29,18,32,9.17
320,Yaan,NG,1534713762,72.36,7.38,8.57,97,92,4.16
321,Vardo,US,1534712100,75.24,39.62,-77.74,73,90,6.93
322,Mogadishu,SO,1534713763,76.59,2.04,45.34,100,88,20.94
323,Sikeston,US,1534712100,85.05,36.88,-89.59,70,40,3.83
324,Aripuana,BR,1534713763,84.78,-9.17,-60.63,73,32,1.59
325,Kelso,US,1534712160,80.01,46.14,-122.91,57,1,8.05
326,Sept-Iles,CA,1534708800,66.2,50.2,-66.38,48,75,6.93
327,Vanimo,PG,1534713764,81.81,-2.67,141.3,100,36,14.67
328,Tilichiki,RU,1534713765,48.51,60.47,166.1,99,92,9.98
329,Hyeres,FR,1534712400,74.25,43.12,6.14,69,0,2.24
330,Vengerovo,RU,1534713765,57.06,55.68,76.74,85,88,13.44
331,Naze,NG,1534713766,72.63,5.43,7.07,96,44,5.28
332,Mount Gambier,AU,1534713766,45.09,-37.83,140.78,80,88,4.83
333,Prachuap Khiri Khan,TH,1534713766,75.42,11.81,99.79,94,80,3.6
334,Dubbo,AU,1534712400,37.4,-32.25,148.6,74,0,3.36
335,Nehe,CN,1534713767,62.37,48.48,124.88,95,56,11.77
336,Samarkand,UZ,1534710600,73.4,39.65,66.98,43,0,6.93
338,Promyshlennaya,RU,1534710600,64.4,54.92,85.64,68,0,11.18
339,Nishihara,JP,1534712400,70.68,35.74,139.53,69,75,10.29
340,San Cristobal,EC,1534712400,66.2,-0.39,-78.55,42,75,17.22
341,Copiapo,CL,1534712400,55.4,-27.37,-70.33,76,75,18.34
342,Rozhyshche,UA,1534713769,65.79,50.92,25.27,84,8,3.6
343,Chiriqui,PA,1534708800,84.2,8.39,-82.32,79,75,8.05
345,Santa Maria,BR,1534708800,55.4,-29.69,-53.81,93,90,11.41
346,Beloha,MG,1534713771,61.38,-25.17,45.06,89,0,3.04
347,Vestmanna,FO,1534711800,50,62.16,-7.17,93,64,1.7
348,Det Udom,TH,1534712400,75.2,14.9,105.08,94,90,6.93
349,Tuatapere,NZ,1534713773,41.22,-46.13,167.69,100,64,6.17
350,Bella Vista,AR,1534713774,46.89,-28.51,-59.05,95,80,25.64
351,Datong,CN,1534713774,54.45,40.09,113.3,92,0,2.59
352,Mosetse,BW,1534713774,64.35,-20.64,26.64,41,0,11.21
353,Ramygala,LT,1534711800,62.6,55.51,24.3,82,0,1.12
355,Griffith,AU,1534713775,36.27,-34.29,146.06,88,0,7.63
356,Ginda,IN,1534713775,59.13,30.69,78.49,100,36,1.7
357,Zhigansk,RU,1534713776,56.34,66.77,123.37,100,44,2.15
358,Pevek,RU,1534713776,37.17,69.7,170.27,100,92,6.17
359,Praia da Vitoria,PT,1534708800,77,38.73,-27.07,83,20,7.18
360,Vanavara,RU,1534713777,56.07,60.35,102.28,83,44,3.38
361,Asyut,EG,1534708800,87.8,27.18,31.19,35,0,11.41
362,Flinders,AU,1534708800,42.8,-34.58,150.85,52,0,13.87
363,Betulia,CO,1534712400,71.6,6.11,-75.98,49,40,8.05
365,Lasa,CY,1534712400,78.01,34.92,32.53,88,20,4.7
366,Cairns,AU,1534712400,69.8,-16.92,145.77,100,75,12.75
367,Okhotsk,RU,1534713779,63.18,59.36,143.24,79,88,8.63
368,Alyangula,AU,1534713779,74.97,-13.85,136.42,92,0,26.98
369,Kaeo,NZ,1534713780,57.69,-35.1,173.78,90,20,12.33
370,Hegang,CN,1534713780,53.55,47.34,130.28,84,0,2.15
371,Bukene,TZ,1534713780,72.45,-4.23,32.89,47,48,13.22
372,Andros Town,BS,1534712400,87.8,24.73,-77.79,62,40,12.75
373,Thinadhoo,MV,1534713781,81.27,0.53,72.93,100,92,15.01
374,Maracacume,BR,1534713781,83.34,-2.04,-45.96,59,64,8.19
375,Inirida,CO,1534713782,82.44,3.87,-67.92,80,12,1.7
376,Kharan,PK,1534713782,68.58,28.58,65.42,37,0,2.37
377,Lufilufi,WS,1534713782,81.27,-13.87,-171.6,100,32,12.21
379,Wewak,PG,1534713783,74.52,-3.55,143.63,100,0,2.93
380,Puerto El Triunfo,SV,1534711800,87.8,13.27,-88.55,70,40,5.82
381,Kalpi,IN,1534713784,76.95,26.12,79.75,97,32,7.29
382,Richards Bay,ZA,1534713784,61.11,-28.77,32.06,87,0,8.63
383,Taree,AU,1534712400,50,-31.91,152.46,37,0,16.11
384,Huarmey,PE,1534713785,71.28,-10.07,-78.15,57,8,4.16
385,Beboto,TD,1534713785,68.76,8.27,16.94,96,44,3.71
388,Talcahuano,CL,1534712400,64.4,-36.72,-73.12,22,0,12.75
389,Maubin,MM,1534712400,78.8,16.73,95.65,94,90,8.05
390,Ukiah,US,1534713000,96.8,39.15,-123.21,11,1,2.71
391,Belogorsk,UA,1534713787,69.12,45.06,34.59,78,0,8.75
392,Dana Point,US,1534712280,84.45,33.47,-117.7,65,40,11.41
395,Sola,FI,1534711800,59,62.78,29.36,72,0,5.82
396,Occhiobello,IT,1534711800,77,44.92,11.58,69,0,4.7
397,Rocha,UY,1534713789,45.81,-34.48,-54.34,82,64,13.89
398,Koumra,TD,1534713789,68.58,8.92,17.55,94,36,4.38
399,Berlevag,NO,1534711800,51.8,70.86,29.09,87,75,10.29
400,Takoradi,GH,1534713790,75.87,4.89,-1.75,93,80,8.86
401,Xiongzhou,CN,1534708800,80.6,32.34,118.83,94,0,2.24
402,Dombarovskiy,RU,1534713790,52.38,50.76,59.54,70,0,7.4
404,Ixtapa,MX,1534711500,89.6,20.71,-105.21,75,75,9.17
405,Huilong,CN,1534713791,72.63,28.89,110.18,92,24,2.04
406,Waddan,LY,1534713792,83.88,29.16,16.14,36,0,12.21
407,Puerto Ayacucho,CO,1534713792,82.98,5.66,-67.63,75,56,3.71
408,Mount Isa,AU,1534712400,51.8,-20.73,139.49,29,0,14.99
409,Yagodnoye,RU,1534713792,43.92,62.52,149.63,59,0,6.51
410,Daru,SL,1534713793,70.56,7.99,-10.85,99,92,4.83
411,Vila,IT,1534711800,75.22,45.18,8.4,73,0,5.82
412,Seydisehir,TR,1534713794,63.27,37.42,31.85,50,0,2.93
413,Taltal,CL,1534713794,64.08,-25.41,-70.49,71,0,3.04
414,Northampton,GB,1534711800,66.79,52.24,-0.9,77,56,12.75
415,Ngunguru,NZ,1534713795,61.47,-35.62,174.5,94,12,19.93
416,Kununurra,AU,1534712400,68,-15.77,128.74,24,0,3.36
417,Anadyr,RU,1534710600,51.8,64.73,177.51,87,20,15.66
419,Northam,GB,1534711800,62.6,51.04,-4.21,93,75,8.05
420,College,US,1534711980,59.47,64.86,-147.8,55,75,4.7
